17,11,7,3
8,4,12,5
4,8,3,2
1,3,4,0
89,62,37,14
4,2,0,0
33,22,10,5
573,464,188,114
326,216,89,51
2801,2190,1491,879
182,138,108,68
592,486,322,218
97,64,49,29
59,47,37,19
119,85,48,24
308,175,110,86
1833,1356,717,503
991,736,398,270
524,361,216,100
97,46,37,34
58,29,22,17
490,392,166,117
1181,843,335,250
36,25,20,10
1187,889,352,183
131,94,4,5
177,178,100,61
194,145,117,78
78,68,69,24
54,32,24,12
9,2,4,0
820,601,413,227
20,11,11,3
80,87,18,23
1,6,2,1
66,56,15,17
10,14,2,3
24,21,11,7
105,69,40,15
269,244,182,127
46,36,19,9
47,32,11,5
69,45,74,50
29,9,11,4
12,15,18,6
11,10,9,4
68,51,25,16
167,150,62,31
22,17,31,20
144,95,50,17
131,92,29,13
16,5,10,14
193,146,62,42
45,37,5,13
14,16,10,1
70,38,12,5
12,7,5,2
1427,953,105,57
6059,5074,1753,1139
57,30,16,15
79,48,13,4
33,41,29,24
86,66,26,29
1,6,1,2
8,3,0,0
11,3,2,0
12,9,7,3
0,1,0,0
3,3,2,2
6,0,3,8
14,19,6,3
6,3,3,3
9,6,6,4
4,3,1,0
131,63,21,7
0,0,0,0
6,8,1,0
0,1,0,0
11,13,4,7
6,3,5,4
0,3,1,2
86,67,41,28
14,18,13,6
47,37,6,4
1,0,2,1
1,0,0,0
2,6,4,4
4,4,0,0
1,4,5,0
42,19,7,1
18,11,7,3
